mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_feature_fraction,param_learning_rate,param_max_depth,param_num_leaves,param_subsample,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,split5_test_score,split6_test_score,split7_test_score,split8_test_score,split9_test_score,mean_test_score,std_test_score,rank_test_score,param_num_trees
810.2549107313156,80.60889954525119,15.034792232513428,3.228402540623002,0.6356328030249583,0.005884775901002458,18,299,0.6542424350844402,"{'feature_fraction': 0.6356328030249583, 'learning_rate': 0.005884775901002458, 'max_depth': 18, 'num_leaves': 299, 'num_trees': 1000, 'subsample': 0.6542424350844402}",-66.68923794609994,-67.5201139973197,-66.80278396234296,-64.26781774375901,-49.22781157334179,-55.39662138290505,-64.46892806983858,-64.84713473520904,-76.33370302866975,-69.23023579140037,-64.47843882308862,7.056275877990096,1,1000
1130.9829361915588,149.23937055019996,40.49745976924896,5.315113382069043,0.9817353618548528,0.011956244022128882,29,127,0.7439901992296374,"{'feature_fraction': 0.9817353618548528, 'learning_rate': 0.011956244022128882, 'max_depth': 29, 'num_leaves': 127, 'num_trees': 3000, 'subsample': 0.7439901992296374}",-68.07413519783049,-71.29222859365251,-65.9690291915895,-63.23709255628331,-49.23744697139473,-53.55927604434722,-64.36554223528177,-66.11521920093305,-76.34187718688469,-67.3264015015559,-64.55182486797533,7.524131270971605,2,3000
57.5675555229187,12.006146058932332,0.5062841415405274,0.0642786785267717,0.6857592714582879,0.0810563876204907,15,138,0.118647289372943,"{'feature_fraction': 0.6857592714582879, 'learning_rate': 0.08105638762049074, 'max_depth': 15, 'num_leaves': 138, 'subsample': 0.11864728937294303}",-65.43464956207997,-69.25580006291223,-66.69222889809356,-64.3227100053355,-49.65813439684935,-55.75727059585199,-65.82197978345918,-65.76286392189681,-77.07119859590523,-69.35698564213487,-64.91338214645188,7.129542389599233,1,
370.28823590278625,96.72759822160907,9.550243973731995,1.193636373382609,0.39743695085513364,0.027630799986965483,14,194,0.6812728726358587,"{'feature_fraction': 0.39743695085513364, 'learning_rate': 0.027630799986965483, 'max_depth': 14, 'num_leaves': 194, 'num_trees': 800, 'subsample': 0.6812728726358587}",-66.11104598571676,-67.8841241964802,-68.43106874356656,-64.52426405615853,-50.06455393628857,-55.866546120397054,-64.335019262583,-65.87685161173496,-77.42136952943439,-69.92181308113486,-65.04366565234947,7.125625222377946,3,800
67.5046042919159,14.856264587869306,0.5652967691421509,0.0620904196689712,0.7908969175169239,0.0981676854100978,18,152,0.5643115033656371,"{'feature_fraction': 0.7908969175169239, 'learning_rate': 0.09816768541009781, 'max_depth': 18, 'num_leaves': 152, 'num_trees': 100, 'subsample': 0.5643115033656371}",-67.70642053962366,-71.13591242097397,-66.49183420894387,-64.07794243159606,-49.52393356359877,-55.21103528019178,-65.11561470610395,-65.49487580666612,-76.95252893453738,-68.80227771546464,-65.05123756077003,7.354825865889465,1,100.0
53.940931463241576,14.354716172591353,0.5114510297775269,0.0681870697654198,0.734274057957335,0.0753091604118819,16,137,0.7350588736035638,"{'feature_fraction': 0.734274057957335, 'learning_rate': 0.07530916041188195, 'max_depth': 16, 'num_leaves': 137, 'subsample': 0.7350588736035638}",-66.25652086660543,-69.48705887471519,-66.84696747921167,-64.47036304596554,-49.53845044728353,-56.036581258738494,-66.11597231263934,-66.20823834792772,-76.98448795912448,-69.28135354158842,-65.12259941337999,7.136663114123191,1,
51.33269045352936,10.791165625233338,0.4614867687225342,0.1477297292750102,0.9621915174216832,0.0829389374219795,11,114,0.4018308759275165,"{'feature_fraction': 0.9621915174216833, 'learning_rate': 0.08293893742197958, 'max_depth': 11, 'num_leaves': 114, 'num_trees': 100, 'subsample': 0.40183087592751654}",-67.35739216181321,-71.7281209075893,-66.20511051754143,-64.02654161910534,-49.29800650009472,-55.2691253603854,-66.74638935094464,-66.46714468546968,-77.24448806971607,-68.45387642451085,-65.27961955971708,7.488288263749907,1,100.0
138.85091128349305,27.611439592019558,2.112843322753906,0.2259254137752556,0.7923226156693141,0.0425762548601138,18,18,0.1390547832328823,"{'feature_fraction': 0.7923226156693141, 'learning_rate': 0.042576254860113814, 'max_depth': 18, 'num_leaves': 18, 'num_trees': 1000, 'subsample': 0.13905478323288237}",-63.248699734216906,-72.86475112958914,-66.11556538145253,-63.76955627601259,-49.96720748509586,-56.02834553994235,-66.72961546967355,-67.39186581338585,-77.96624683239703,-69.12470426521558,-65.32065579269813,7.529783582140552,2,1000.0
250.7224054813385,62.90976065617966,5.1838525295257565,0.4931750733544349,0.993021212196286,0.018969085099102,7,185,0.9138763651723374,"{'feature_fraction': 0.9930212121962859, 'learning_rate': 0.018969085099102063, 'max_depth': 7, 'num_leaves': 185, 'num_trees': 750, 'subsample': 0.9138763651723374}",-66.15719617917233,-71.58959221624401,-66.21606835484462,-63.6983583422652,-49.47438180084089,-55.69061417438738,-66.94234871353181,-66.18528741720762,-77.91785337885301,-69.60391603233185,-65.34756166096788,7.534460957449882,3,750.0
96.98505473136902,24.39414848343005,1.481973934173584,0.0536545641184408,0.798057248447303,0.039213742272473,8,122,0.4598161964275147,"{'feature_fraction': 0.798057248447303, 'learning_rate': 0.03921374227247309, 'max_depth': 8, 'num_leaves': 122, 'num_trees': 250, 'subsample': 0.4598161964275147}",-66.24073719125944,-71.89086929429209,-66.610013668428,-64.21358157921856,-49.28599268211355,-55.7422124985304,-66.11832442580297,-66.23630957795807,-77.68091701974927,-69.55130143540885,-65.35702593727612,7.535882155896266,4,250.0
