mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_feature_fraction,param_learning_rate,param_max_depth,param_num_leaves,param_num_trees,param_subsample,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,split5_test_score,split6_test_score,split7_test_score,split8_test_score,split9_test_score,mean_test_score,std_test_score,rank_test_score
700.4332103967666,59.54591240437038,13.976189637184143,2.0039286230246574,0.638424694279985,0.009055170794477705,26,250,1000,0.7378364840596764,"{'feature_fraction': 0.638424694279985, 'learning_rate': 0.009055170794477705, 'max_depth': 26, 'num_leaves': 250, 'num_trees': 1000, 'subsample': 0.7378364840596764}",-66.39953640054222,-67.5755078195594,-66.19408214277544,-63.30649832428014,-49.01803023278808,-54.73241989062718,-63.636514966532914,-64.69530712802963,-75.96506632521135,-68.45245829014375,-63.99754215204901,7.055403186720651,1
1069.6875179767608,239.71197028553323,38.75232307910919,2.7621068927519725,0.9831254758194231,0.00419145269263998,12,53,5000,0.4775843411510946,"{'feature_fraction': 0.9831254758194231, 'learning_rate': 0.00419145269263998, 'max_depth': 12, 'num_leaves': 53, 'num_trees': 5000, 'subsample': 0.4775843411510946}",-66.35895319887611,-68.87586336885686,-65.12566267694551,-63.22052314962658,-49.348976620758705,-54.83270595444613,-66.07406520264705,-65.52517037930954,-76.97604844956346,-67.9801658373459,-64.43181348383759,7.203387996951262,2
2059.61220331192,419.96236139110323,97.83940737247467,6.614132615683717,0.5724750380004625,0.016915875895749104,14,222,5000,0.1660001727220625,"{'feature_fraction': 0.5724750380004625, 'learning_rate': 0.016915875895749104, 'max_depth': 14, 'num_leaves': 222, 'num_trees': 5000, 'subsample': 0.1660001727220625}",-66.27100201196521,-69.298642517728,-67.82172991747173,-64.04653560806854,-49.536096562503374,-54.2064416662473,-61.80386323623354,-65.90345752342289,-76.49618971715084,-69.11896084010121,-64.45029196008926,7.360273035320993,3
439.7374545574188,80.63123122136541,10.85318727493286,2.412528579266225,0.45653172355805494,0.01812863310109694,29,162,1000,0.5981090696282365,"{'feature_fraction': 0.45653172355805494, 'learning_rate': 0.01812863310109694, 'max_depth': 29, 'num_leaves': 162, 'num_trees': 1000, 'subsample': 0.5981090696282365}",-65.8571842410727,-67.8824394143222,-67.27836325337742,-64.15502325272763,-49.8157424942421,-55.610218840274044,-64.42734722068636,-65.50350028113714,-77.0250579647805,-69.58418898936182,-64.7139065951982,7.0644006820779195,4
223.8338459968567,44.832464847681166,6.030239915847778,0.4403179143855296,0.479803286768697,0.01944286319318179,8,186,700,0.872739146777577,"{'feature_fraction': 0.479803286768697, 'learning_rate': 0.01944286319318179, 'max_depth': 8, 'num_leaves': 186, 'num_trees': 700, 'subsample': 0.872739146777577}",-65.47589880277621,-69.13945121569843,-67.59581256299595,-64.37081745521519,-49.52901126766404,-55.85796125981821,-65.30719870093347,-65.65923189982031,-77.48556268907201,-70.14131391513332,-65.05622597691271,7.281783729478926,5
400.71585268974303,74.80904335609361,10.009862446784973,0.5116803512894355,0.8453344309065021,0.010178849200814646,8,173,900,0.8642416087544277,"{'feature_fraction': 0.8453344309065021, 'learning_rate': 0.010178849200814646, 'max_depth': 8, 'num_leaves': 173, 'num_trees': 900, 'subsample': 0.8642416087544277}",-65.79358011899063,-71.70584847108351,-66.50958415525234,-64.0064833802959,-48.920342560692184,-55.30933540416766,-65.70635401429435,-66.51929647509613,-76.94517363579968,-69.18032748662687,-65.05963257022992,7.51174017665342,6
481.7127998590469,84.08359583628932,12.830897617340089,2.2732623290628147,0.36031509857854094,0.02595754952159816,23,266,800,0.9396452138186094,"{'feature_fraction': 0.36031509857854094, 'learning_rate': 0.02595754952159816, 'max_depth': 23, 'num_leaves': 266, 'num_trees': 800, 'subsample': 0.9396452138186094}",-66.26880122683082,-66.21309640204693,-69.14298977358334,-64.63917872385069,-50.19668932041504,-56.383551961088074,-64.3450101711576,-66.0291184446448,-78.02539239122702,-70.15431658315129,-65.13981449979956,7.150368112657027,7
891.122774720192,205.81765971402265,36.8863450050354,2.176960843079977,0.24212013547495695,0.022384294865121467,17,119,3000,0.8501443149449674,"{'feature_fraction': 0.24212013547495695, 'learning_rate': 0.022384294865121467, 'max_depth': 17, 'num_leaves': 119, 'num_trees': 3000, 'subsample': 0.8501443149449674}",-66.31268287493113,-67.01656995229045,-68.88342181426654,-64.63270223748601,-50.29786893799355,-56.00408676354269,-63.931134048617864,-67.14189069057885,-78.18814781506723,-69.98503586904529,-65.23935410038196,7.225093547942589,8
489.7024455547333,135.14410807826346,15.628710603713989,1.5604452394080015,0.49761128239464836,0.05964860984671932,16,222,1000,0.2669515937887913,"{'feature_fraction': 0.49761128239464836, 'learning_rate': 0.05964860984671932, 'max_depth': 16, 'num_leaves': 222, 'num_trees': 1000, 'subsample': 0.2669515937887913}",-67.17110265894944,-69.79982194892006,-68.27762435926697,-64.92661593177853,-50.315527979458025,-55.27874604645334,-63.236235466163826,-66.66833525926175,-77.71731397530382,-70.09098700688958,-65.34823106324453,7.355042241178457,9
2336.632120537758,448.93861808408127,71.91129887104034,42.958037270654806,0.33526833126611033,0.027880474918762634,14,256,5000,0.688839937836164,"{'feature_fraction': 0.33526833126611033, 'learning_rate': 0.027880474918762634, 'max_depth': 14, 'num_leaves': 256, 'num_trees': 5000, 'subsample': 0.688839937836164}",-67.74363170476508,-68.78847099209318,-70.7247139192024,-65.36268662803178,-50.471739433129486,-56.503845071451494,-62.88714210614859,-66.40597822074805,-78.52037404629311,-70.76312491002332,-65.81717070318865,7.441883557544473,10
