mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_feature_fraction,param_learning_rate,param_max_depth,param_num_leaves,param_subsample,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,split5_test_score,split6_test_score,split7_test_score,split8_test_score,split9_test_score,mean_test_score,std_test_score,rank_test_score
53.940931463241576,14.354716172591353,0.5114510297775269,0.06818706976541986,0.734274057957335,0.07530916041188195,16,137,0.7350588736035638,"{'feature_fraction': 0.734274057957335, 'learning_rate': 0.07530916041188195, 'max_depth': 16, 'num_leaves': 137, 'subsample': 0.7350588736035638}",-66.25652086660543,-69.48705887471519,-66.84696747921167,-64.47036304596554,-49.53845044728353,-56.036581258738494,-66.11597231263934,-66.20823834792772,-76.98448795912448,-69.28135354158842,-65.12259941337999,7.136663114123191,1
56.86883690357208,13.719743980962981,0.43696353435516355,0.04820568149900472,0.9815853992105807,0.05167433865201257,15,97,0.10005535686500858,"{'feature_fraction': 0.9815853992105807, 'learning_rate': 0.05167433865201257, 'max_depth': 15, 'num_leaves': 97, 'subsample': 0.10005535686500858}",-66.96638922408918,-70.17238690554399,-67.18319961286518,-65.72939991239919,-50.71437161933035,-57.314365045744715,-69.18468268293667,-66.69434970155136,-78.09445616129597,-70.62465314532302,-66.26782540110796,7.116719070611893,2
18.36448073387146,3.6634125041394534,0.19365882873535156,0.09517814912492997,0.9330380975093908,0.08974046241650181,16,18,0.6804471371881301,"{'feature_fraction': 0.9330380975093908, 'learning_rate': 0.08974046241650181, 'max_depth': 16, 'num_leaves': 18, 'subsample': 0.6804471371881301}",-65.0820358497228,-68.69422199079463,-67.37231085555618,-66.89776745245861,-51.24812975685987,-59.30054002320833,-70.99003013074368,-71.719493351883,-81.21873447275662,-72.02814805146592,-67.45514119354496,7.600514767501184,3
17.946122646331787,6.118247716069519,0.2806233882904053,0.028939672634435108,0.8142412995491114,0.09920670368929659,16,12,0.6083154485788909,"{'feature_fraction': 0.8142412995491114, 'learning_rate': 0.09920670368929659, 'max_depth': 16, 'num_leaves': 12, 'subsample': 0.6083154485788909}",-65.61357281908286,-73.21557773541531,-68.69454697157481,-68.51077249227677,-52.71787263173761,-61.047610947934984,-72.93614646317177,-73.91149826935538,-83.00694681801654,-73.62218423169179,-69.32767293802578,7.83595117388,4
58.22895812988281,14.558136835790425,0.5864278078079224,0.08228308392782002,0.2433532874090464,0.06823493012435795,11,161,0.36455561210462695,"{'feature_fraction': 0.2433532874090464, 'learning_rate': 0.06823493012435795, 'max_depth': 11, 'num_leaves': 161, 'subsample': 0.36455561210462695}",-69.35090779129706,-66.47561523663605,-73.44134811572756,-69.15555741527604,-52.783776278024625,-62.15178196237973,-71.15843508442748,-71.0108424943786,-81.93981944330899,-76.8952378130532,-69.43633216345094,7.567572975071577,5
21.520080828666686,6.481824695392502,0.44691617488861085,0.0360982180395999,0.5560146232178672,0.05239070724046744,5,104,0.3292193230865794,"{'feature_fraction': 0.5560146232178672, 'learning_rate': 0.05239070724046744, 'max_depth': 5, 'num_leaves': 104, 'subsample': 0.3292193230865794}",-65.07259891813078,-70.0725547755076,-71.80278647550847,-70.20392233368638,-53.846398743523515,-63.77012179199187,-75.30961744711959,-74.61318695235114,-84.63247128919068,-77.8319146358081,-70.7155573362818,8.044425375500525,6
30.072297239303587,6.808851518819483,0.3757671356201172,0.0487588815676361,0.6867843464581688,0.03904512502173694,14,36,0.376893750817091,"{'feature_fraction': 0.6867843464581688, 'learning_rate': 0.03904512502173694, 'max_depth': 14, 'num_leaves': 36, 'subsample': 0.376893750817091}",-69.12988485643766,-73.13659982069653,-72.43762356791459,-72.95771488891334,-57.149129803611316,-65.53996483509647,-75.40406905343598,-72.84874676611629,-83.31615486017975,-78.57115156795342,-72.04910400203553,6.756018732353475,7
17.07332901954651,4.368888159745635,0.3885148286819458,0.041765272517949814,0.4136923925080297,0.07453368043119585,4,132,0.3074700754411094,"{'feature_fraction': 0.4136923925080297, 'learning_rate': 0.07453368043119585, 'max_depth': 4, 'num_leaves': 132, 'subsample': 0.3074700754411094}",-69.54941180707176,-74.39200972112249,-73.96458670256344,-72.83979696163676,-56.75073381753634,-68.40210172430895,-81.19716024105337,-80.29262510546306,-88.85141320838041,-80.72265103776287,-74.69624903268996,8.381464736992546,8
45.32018420696259,10.256552657298768,0.4967480182647705,0.06183801518696359,0.5776651173213498,0.027321603619774218,15,98,0.4927847961008297,"{'feature_fraction': 0.5776651173213498, 'learning_rate': 0.027321603619774218, 'max_depth': 15, 'num_leaves': 98, 'subsample': 0.4927847961008297}",-80.79787285667113,-89.55642363914562,-82.9051718705671,-82.60396029172945,-68.11777484451964,-76.48617242356065,-86.55290536384175,-82.94222038116561,-94.25722470883774,-89.77966218767074,-83.39993885677094,7.0400877951301215,9
55.19850544929504,10.954778076130994,0.5678137063980102,0.0739754040985635,0.26684751304849963,0.021734670410045,15,158,0.5113967237554545,"{'feature_fraction': 0.26684751304849963, 'learning_rate': 0.021734670410045, 'max_depth': 15, 'num_leaves': 158, 'subsample': 0.5113967237554545}",-102.81385134059984,-108.59201258287399,-104.48390649564816,-101.84985664892335,-87.71986163861764,-99.50614714701878,-112.34602827669066,-108.68170451591911,-117.52538286025704,-111.73889185719864,-105.5257643363747,7.897530211542708,10
