mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_feature_fraction,param_learning_rate,param_max_depth,param_num_leaves,param_subsample,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,split5_test_score,split6_test_score,split7_test_score,split8_test_score,split9_test_score,mean_test_score,std_test_score,rank_test_score
1.6921738862991331,0.6445124782424173,0.0571278572082519,0.0042795750703919,0.472282766561743,0.0661302747974872,18,137,0.4053638603443934,"{'feature_fraction': 0.47228276656174306, 'learning_rate': 0.0661302747974872, 'max_depth': 18, 'num_leaves': 137, 'subsample': 0.4053638603443934}",-65.74465567069463,-67.07330056511005,-69.1100654152993,-66.4765770764049,-50.66462356446355,-58.22430818122478,-67.14732673696605,-67.34110940958868,-78.91711372231116,-72.32232753935114,-66.30214078814143,7.1817661899295935,1
1.476729202270508,0.6187442841187687,0.0486636638641357,0.0024854366665622,0.4745401188473624,0.0711447600934341,11,81,0.6986584841970366,"{'feature_fraction': 0.47454011884736247, 'learning_rate': 0.07114476009343418, 'max_depth': 11, 'num_leaves': 81, 'subsample': 0.6986584841970366}",-66.29828284248713,-67.73431401396896,-69.44645838082202,-67.15732633401349,-50.99969548073968,-59.11300416912404,-68.79018037756374,-68.51196542157561,-79.90591825632576,-73.13543905687905,-67.10925843334994,7.313232744808261,2
1.5955616235733032,0.6513931345639954,0.0551996946334838,0.004124251394147,0.6582934536070976,0.0444538141573754,9,108,0.8003578299727713,"{'feature_fraction': 0.6582934536070976, 'learning_rate': 0.04445381415737548, 'max_depth': 9, 'num_leaves': 108, 'subsample': 0.8003578299727713}",-67.67724212173867,-70.61749391021976,-68.72280718564949,-67.8396121603815,-51.88653465463484,-59.1514140392222,-69.41704353975753,-67.96908593052427,-78.856878444766,-73.56285290600104,-67.57009648928954,7.03152046326096,3
1.4840137958526611,0.6323909857651487,0.0445907115936279,0.0026307797906858,0.7947849330397045,0.0437928810005208,10,54,0.3956336858377139,"{'feature_fraction': 0.7947849330397045, 'learning_rate': 0.04379288100052083, 'max_depth': 10, 'num_leaves': 54, 'subsample': 0.39563368583771397}",-67.37384031223895,-70.83398449573109,-69.83710695629267,-69.13868705264642,-53.45549646835008,-61.03476000669547,-71.02644835299121,-69.24993855163993,-80.03176429887631,-74.75944326559917,-68.67414697610613,6.854069487265852,4
1.1038406610488891,0.4639188652404923,0.0405229091644287,0.0025555836489213,0.6568012624583501,0.0643375209213068,3,113,0.1704161308495439,"{'feature_fraction': 0.6568012624583501, 'learning_rate': 0.06433752092130682, 'max_depth': 3, 'num_leaves': 113, 'subsample': 0.1704161308495439}",-71.29306339116576,-75.95084660600662,-75.7731747513821,-76.8241027996804,-60.042635732728606,-71.10315258542761,-84.49799633107149,-82.46069055765976,-91.45566961117024,-82.0200777877484,-77.1421410154041,8.231254553273272,5
0.9397378921508788,0.3850105258324854,0.0356846332550048,0.0009272197108334,0.1650515929852795,0.0702516633924215,14,18,0.1159662522202142,"{'feature_fraction': 0.16505159298527952, 'learning_rate': 0.07025166339242159, 'max_depth': 14, 'num_leaves': 18, 'subsample': 0.1159662522202142}",-71.88116877778484,-74.81749100070394,-78.42724122809952,-75.53073015628479,-58.81870251119806,-70.92636820476571,-82.84781807823083,-83.5603995886397,-92.10391489282456,-84.558615070667,-77.34724495091989,8.740143402291995,6
1.1294368505477903,0.5177166576745187,0.0375687360763549,0.0017421944895433,0.5281841483173143,0.0794263229180113,3,197,0.95300945546736,"{'feature_fraction': 0.5281841483173143, 'learning_rate': 0.07942632291801136, 'max_depth': 3, 'num_leaves': 197, 'subsample': 0.95300945546736}",-71.98275703422242,-77.79334398335342,-76.55086406630258,-76.19231522686758,-60.80789278650028,-71.8249347059252,-84.9731279557041,-83.8037894782804,-92.20970650577394,-83.51922047867262,-77.96579522216027,8.306575470296428,7
0.9850243330001832,0.4055472284879789,0.0333371400833129,0.0015740574884017,0.2480869299533999,0.0984512999986812,17,11,0.6026790232288615,"{'feature_fraction': 0.2480869299533999, 'learning_rate': 0.09845129999868124, 'max_depth': 17, 'num_leaves': 11, 'subsample': 0.6026790232288615}",-72.32518678774294,-77.55594431366279,-78.69876703149399,-76.1903832839833,-59.5526096530267,-71.01423919335733,-83.13022211071859,-83.69153585521576,-93.52527762159929,-86.22112336608001,-78.19052892168807,8.900795494536142,8
0.9057656288146972,0.372408756936996,0.0441159009933471,0.0033420744589348,0.1343885211152184,0.0534516611064681,4,59,0.762522284353982,"{'feature_fraction': 0.1343885211152184, 'learning_rate': 0.053451661106468165, 'max_depth': 4, 'num_leaves': 59, 'subsample': 0.762522284353982}",-79.733145141923,-83.8928537319387,-84.17870915034285,-80.60854427995343,-63.7818621638501,-78.70810140559581,-92.61625619522648,-92.87431950257626,-97.58292933574994,-90.17422082303204,-84.41509417301884,9.167421042482456,9
1.7648546695709229,0.7747363115320891,0.05517258644104,0.0036249336995828,0.5560699842170359,0.0226739865237804,19,117,0.6142344384136116,"{'feature_fraction': 0.5560699842170359, 'learning_rate': 0.0226739865237804, 'max_depth': 19, 'num_leaves': 117, 'subsample': 0.6142344384136116}",-94.50717416845116,-106.03725457692512,-96.02324377318163,-94.46735863809788,-81.21790543989502,-90.49226122649,-101.45385628446564,-97.73174922212095,-108.97615653765308,-102.77389007284437,-97.36808499401248,7.631927722691143,10
